SEGMENT_ID,L_F_ADD,L_T_ADD,R_F_ADD,R_T_ADD,STREET_ID,PRE_DIR,ST_NAME,ST_TYPE,SUF_DIR,ALTERNATE_NAME,CFCC,SPEEDLIMIT,ONEWAY,F_ZLEV,T_ZLEV,FT_COST,TF_COST,FT_DIR,TF_DIR,SHIELD,HWY_NUM,MUN_L,MUN_R,NBHD_L,NBHD_R,STATE00_L,STATE00_R,COUNTY00_L,COUNTY00_R,MCD00_L,MCD00_R,Shape_Length,shape_wkt,coordinates,segment_length_m,traffic_weight
27141,,,,,4181,,Tremont,ST,,,A35,25,FT,0,0,0.01395295,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000105616120637,"MULTILINESTRING ((-71.080350102999944 42.339356638000027, -71.080445125999972 42.339310536000028))","[(-71.08035010299994, 42.33935663800003), (-71.08044512599997, 42.33931053600003)]",11.72338939065696,0.0
22713,,,498.0,446.0,2657,,Massachusetts,AVE,,,A35,25,FT,0,0,0.28182126,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.00181176403265,"MULTILINESTRING ((-71.080350102999944 42.339356638000027, -71.080641115999981 42.339650258000063, -71.08107610899998 42.340096806000076, -71.081260937999957 42.340308051000079, -71.081664738999962 42.340593101000024))","[(-71.08035010299994, 42.33935663800003), (-71.08064111599998, 42.33965025800006), (-71.08107610899998, 42.340096806000076), (-71.08126093799996, 42.34030805100008), (-71.08166473899996, 42.340593101000024)]",201.10580762415822,0.0
27139,,,,,2657,,Massachusetts,AVE,,,A35,25,FT,0,0,0.01325775,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,9.0747432867e-05,"MULTILINESTRING ((-71.080286315999956 42.339292091000061, -71.080350102999944 42.339356638000027))","[(-71.08028631599996, 42.33929209100006), (-71.08035010299994, 42.33935663800003)]",10.072965048249646,0.0
27140,,,,,4181,,Tremont,ST,,,A35,25,FT,0,0,0.01433695,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.00010812247436,"MULTILINESTRING ((-71.080382960999941 42.339243612000075, -71.080286315999956 42.339292091000061))","[(-71.08038296099994, 42.339243612000075), (-71.08028631599996, 42.33929209100006)]",12.00159465397201,0.0
25254,514.0,524.0,509.0,521.0,3843,,Shawmut,AVE,,,A41,20,FT,0,0,0.13655175,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000799640673802,"MULTILINESTRING ((-71.077326377999952 42.337816176000047, -71.078000834999955 42.337386603000027))","[(-71.07732637799995, 42.33781617600005), (-71.07800083499995, 42.33738660300003)]",88.76011479197743,0.25
21493,,,,,3843,,Shawmut,AVE,,,A41,20,FT,0,0,0.01579603,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,9.0699497414e-05,"MULTILINESTRING ((-71.078000834999955 42.337386603000027, -71.078073999999958 42.337333000000058))","[(-71.07800083499995, 42.33738660300003), (-71.07807399999996, 42.33733300000006)]",10.06764421299426,0.0
19423,,,601.0,633.0,2657,,Massachusetts,AVE,,,A35,25,FT,0,0,0.19472746,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.001368869971883,"MULTILINESTRING ((-71.078073999999958 42.337333000000058, -71.077027999999984 42.33645000000007))","[(-71.07807399999996, 42.33733300000006), (-71.07702799999998, 42.33645000000007)]",151.94456687902996,0.26515151515151514
23659,,,635.0,655.0,2657,,Massachusetts,AVE,,,A35,25,FT,0,0,0.08916478,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000628535633532,"MULTILINESTRING ((-71.077027999999984 42.33645000000007, -71.076682996999978 42.336164282000027, -71.076543999999956 42.33604900000006))","[(-71.07702799999998, 42.33645000000007), (-71.07668299699998, 42.33616428200003), (-71.07654399999996, 42.33604900000006)]",69.76745532201778,0.22033898305084745
20325,,,632.0,600.0,2657,,Massachusetts,AVE,,,A35,25,FT,0,0,0.19422245,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.001371608470036,"MULTILINESTRING ((-71.076939359999983 42.336517937000053, -71.078000834999955 42.337386603000027))","[(-71.07693935999998, 42.33651793700005), (-71.07800083499995, 42.33738660300003)]",152.2485401740484,0.2781954887218045
22483,,,648.0,634.0,2657,,Massachusetts,AVE,,,A35,25,FT,0,0,0.06431631,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000456878067007,"MULTILINESTRING ((-71.076580226999965 42.336235517000034, -71.076939359999983 42.336517937000053))","[(-71.07658022699997, 42.336235517000034), (-71.07693935999998, 42.33651793700005)]",50.71346543782849,0.3409090909090909
